City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
205,Santa Isabel,BR,82.11,broken clouds,-23.3156,-46.2214,Chácara Sombra do Altíssimo
207,Pangai,TO,81.19,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
211,Matara,LK,73.04,overcast clouds,5.9485,80.5353,Amaloh Boutique Resort
216,Comodoro Rivadavia,AR,75.06,scattered clouds,-45.8667,-67.5,Austral Hotel
217,Oriximina,BR,80.42,overcast clouds,-1.7656,-55.8661,Pousada Tia Amélia
218,Kahului,US,81.66,few clouds,20.8947,-156.47,Maui Seaside Hotel
221,Calvinia,ZA,76.59,light rain,-31.4707,19.776,Die Lemoenhuis
224,Davila,PH,77.09,clear sky,18.4726,120.5763,Blue Ridge Beach Resort
226,Kalmunai,LK,72.05,broken clouds,7.4167,81.8167,VS Villa
229,Ambovombe,MG,74.25,light rain,-25.1667,46.0833,RELAHARA
230,Hualmay,PE,75.56,broken clouds,-11.0964,-77.6139,Hotel Villa Kitzia Huacho
234,Miri,MY,77.14,scattered clouds,4.4148,114.0089,"Mega Hotel, Miri"
235,Mahebourg,MU,80.89,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
239,Cap Malheureux,MU,81.09,broken clouds,-19.9842,57.6142,Pereybere Hotel & Spa
241,Monrovia,LR,76.77,clear sky,6.3005,-10.7969,Sunset Inn
242,Morondava,MG,85.42,overcast clouds,-20.2833,44.2833,La Case Bambou
246,Coahuayana,MX,86.67,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
248,Luanda,AO,77.0,few clouds,-8.8368,13.2343,Hotel Fórum
250,Tautira,PF,86.02,broken clouds,-17.7333,-149.15,Pension Oaoa
252,Tiarei,PF,86.02,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
253,Albina,SR,75.36,broken clouds,5.5,-54.05,Hudace
255,Abengourou,CI,73.26,clear sky,6.7297,-3.4964,Hotel des Princes
256,Manzanillo,CU,85.62,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
260,Ibotirama,BR,80.06,overcast clouds,-12.1853,-43.2206,Serra do Rio Hotel
263,Kupang,ID,79.25,overcast clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
266,San Rafael,AR,84.63,clear sky,-34.6177,-68.3301,Hotel San Rafael
267,Trelew,AR,80.4,scattered clouds,-43.249,-65.3051,Hotel Touring Club
270,Sinnamary,GF,77.34,few clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
271,Maceio,BR,81.84,scattered clouds,-9.6658,-35.7353,Poutur Pousada
277,Langsa,ID,73.15,overcast clouds,4.4683,97.9683,OYO 2964 Hotel Ridho
278,Lazaro Cardenas,MX,82.87,scattered clouds,17.9583,-102.2,quinta antigua
280,Twante,MM,73.53,few clouds,16.7167,95.9333,Dream Land
281,Souillac,MU,80.98,scattered clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
286,Kerema,PG,76.73,overcast clouds,-7.9631,145.7785,Frena Lodge
289,Namibe,AO,75.38,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
291,General Pico,AR,85.12,clear sky,-35.6566,-63.7568,Euskadi Hotel
294,Banda Aceh,ID,76.32,broken clouds,5.5577,95.3222,Sulthan Hotel International
295,Nouadhibou,MR,71.58,overcast clouds,20.931,-17.0347,El Medina
296,Payo,ID,71.78,overcast clouds,-3.7508,103.6372,Mess keban agung
299,Praya,CV,75.74,overcast clouds,14.9215,-23.5087,LT Aparthotel
301,Port Blair,IN,71.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
307,Arraial Do Cabo,BR,82.36,clear sky,-22.9661,-42.0278,Pousada Porto Praia
310,Poum,NC,80.67,overcast clouds,-20.2333,164.0167,Gîte kajeon
313,Isabela,PH,77.95,broken clouds,6.7085,121.9711,Isawad Resort
320,Pizarro,CO,80.94,light rain,4.9533,-77.366,Hotel Limonar
321,Rancagua,CL,85.86,clear sky,-34.1708,-70.7444,Hotel Mar Andino
322,Labuhan,ID,77.65,overcast clouds,-6.8844,112.2051,DoubleFAG
323,Mogadishu,SO,77.77,overcast clouds,2.0371,45.3438,Hotel Juba
330,Supe,PE,74.71,broken clouds,-10.8,-77.7333,Hotel Mavars
332,Necochea,AR,72.23,overcast clouds,-38.5473,-58.7368,dyd -mar Hotel
336,Praia,CV,75.74,overcast clouds,14.9215,-23.5087,LT Aparthotel
337,Sulangan,PH,79.07,overcast clouds,11.1373,123.7228,Maia's Beach Resort
338,Waingapu,ID,77.81,overcast clouds,-9.6567,120.2641,Pondok Wisata Elim
340,Mount Isa,AU,74.97,scattered clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
342,Mabaruma,GY,79.03,clear sky,8.2,-59.7833,Monty Brooms Guest House
348,Diamantina,BR,70.83,scattered clouds,-18.2494,-43.6003,POUSADA OURO DE MINAS
349,Kieta,PG,81.64,scattered clouds,-6.2167,155.6333,Uruna Bay Retreat
350,Aquiraz,BR,82.49,clear sky,-3.9014,-38.3911,Pousada Rua Camurupim
351,Kailua,US,79.74,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
352,Vredendal,ZA,73.74,broken clouds,-31.6683,18.5012,Tharrakamma Guest House
354,Tucuman,AR,71.6,moderate rain,-26.8241,-65.2226,Dallas Hotel Tucuman
355,Caravelas,BR,78.13,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
359,Bathsheba,BB,83.01,few clouds,13.2167,-59.5167,Atlantis Hotel
361,Vanimo,PG,77.5,overcast clouds,-2.6741,141.3028,Vahmoneh Lodge Vanimo
365,Le Port,RE,80.6,scattered clouds,-20.9373,55.2919,KORBEY D'OR OUEST
366,Atambua,ID,74.16,overcast clouds,-9.1061,124.8925,Pastori 1 Jemaat Polycarpus
369,Rocha,UY,76.23,overcast clouds,-34.4833,-54.3333,Hotel Arrarte
373,Cabo San Lucas,MX,75.61,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
377,Vavoua,CI,75.65,clear sky,7.3819,-6.4778,Hotel Le Peuple
380,Viedma,AR,84.74,clear sky,-40.8135,-62.9967,Hotel Cristal
384,Sao Gabriel Da Cachoeira,BR,81.05,broken clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
389,Itarema,BR,81.05,few clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
392,Farafangana,MG,76.8,moderate rain,-22.8167,47.8333,Miarina
393,Gold Coast,AU,74.03,scattered clouds,-28.0,153.4333,Mantra Towers of Chevron Surfers Paradise
395,Saint-Georges,GD,77.88,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
396,Antalaha,MG,75.07,light rain,-14.9003,50.2788,Hotel Vitasoa
402,Kango,GA,77.23,scattered clouds,0.1943,10.0951,Hôtel Bar Restaurant Le Bercail
404,Padang,ID,76.41,overcast clouds,-0.9492,100.3543,Mercure Padang
406,Pemba,MZ,76.89,light rain,-12.974,40.5178,Guesthouse Samotina
414,Sao Francisco Do Sul,BR,89.1,clear sky,-26.2433,-48.6381,Hotel Kontiki
415,Emerald,AU,73.35,broken clouds,-23.5333,148.1667,The Irish Village
419,Upington,ZA,83.32,scattered clouds,-28.4478,21.2561,River Place Manor
422,Hambantota,LK,73.53,overcast clouds,6.1241,81.1185,Bungalow 63
424,Port-Gentil,GA,79.9,scattered clouds,-0.7193,8.7815,Fengshui Residence
434,Sassandra,CI,78.12,clear sky,4.95,-6.0833,la terrasse
437,Conceicao Do Araguaia,BR,81.19,scattered clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
440,Beruwala,LK,74.59,overcast clouds,6.4788,79.9828,The Palms Hotel
444,Casa Nova,BR,85.93,overcast clouds,-9.4167,-41.1333,LÔRO BEACH. DUNAS
